,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
4009,0x809b053254d9dfab:0xb1b11e804211e0ea,Restaurant Josephine,"Restaurant Josephine, 1226 Lincoln Way, Auburn, CA 95603",38.8980934,-121.0746688,Restaurant,4.7,17,Closes soon ⋅ 9PM ⋅ Opens 5PM Thu,Sin resultados vinculados,"Takeout, Dine-in",Dining Venue,1226 Lincoln Way,Auburn,Placer
5012,0x80904101ce001281:0x76db23c5d22346ae,McDonald's,"McDonald's, 1205 S Main St, Manteca, CA 95336",37.7859954,-121.2180619,"Fast food restaurant, Breakfast restaurant, Coffee shop, Hamburger restaurant, Restaurant, Sandwich shop",2.4,48,None,"0x8090410018dc2657:0xed7a807ae3eeee6d, 0x809044429db077bd:0xa7dab0024931e75e, 0x809041003343d189:0xbcc7d0d1705edf91, 0x80904034ab965021:0x1da0bcd8aab19ad4","Takeout, Delivery",Dining Venue,1205 S Main St,Manteca,San Joaquin
5179,0x80c2c7049ff0132d:0xf598d3badb3f6dc,Tacos El Comelon (Food Truck),"Tacos El Comelon (Food Truck), 901 S Hill St, Los Angeles, CA 90015",34.0430606,-118.2573896,Restaurant,5.0,18,Open ⋅ Closes 1AM,"0x80c2c7b6ccec99f7:0xf4ffdd58c7c154f4, 0x80c2c7df89d32d6d:0x6125171acb806e85, 0x80c2c7a89f1a2389:0x86ff55bb21178de3, 0x80c2c813d80b40c3:0xc36b2a34b6e2afa4, 0x80c2bba2974235c3:0x9f7a1c929c64a134","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,901 S Hill St,Los Angeles,Los Angeles
7553,0x808f917cef662e17:0xf30f09f58f38c163,Prime Time Nutrition,"Prime Time Nutrition, 22301 Mission Blvd, Hayward, CA 94541",37.6746819,-122.0873783,Health food store,3.2,15,Open ⋅ Closes 6PM,"0x808f9142d0fcc92b:0x9745436db3b80578, 0x808f93d7eaaa3ab5:0x68314ad261fa5369, 0x808f916f8e49f951:0x8cf32650bdbbace4, 0x808f9225c1b52b73:0x89055356b3b14e5a, 0x808f86f41017256f:0x825b463a5b2a35d1","In-store shopping, Delivery",Health Foods,22301 Mission Blvd,Hayward,Alameda
8259,0x80d955c8291e05b1:0x7192ff647be32017,Kenzi Coffee & Tea Garden,"Kenzi Coffee & Tea Garden, 1763 Third Ave, San Diego, CA 92101",32.7239442,-117.1617449,Coffee shop,4.6,13,Closed ⋅ Opens 7AM Thu,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Café & Coffee,1763 Third Ave,San Diego,San Diego
8586,0x808f7792bd0c683d:0xefefd9d96f8fcb11,La Matcha Cafe,"La Matcha Cafe, 1828 El Camino Real UNIT 102, Burlingame, CA 94010",37.5955346,-122.3838125,"Lunch restaurant, Bakery, Breakfast restaurant, Bubble tea store, Cafe, Caterer, Coffee shop, Cupcake shop, Deli, Restaurant, Sandwich shop",4.9,28,Closed ⋅ Opens 9:30AM Thu,"0x808f77b4825974c7:0xa8db9e4556040b9b, 0x808f77a552a4400d:0xcbd8d87d8d5c21fc, 0x808f7625aefcf6a1:0x2d4d4079da79d541, 0x808f77b71d5a9729:0xc4486a068f6acdd2","Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,1828 El Camino Real UNIT 102,Burlingame,San Mateo
10701,0x80c2c798ad41d859:0x8823cd86d2abd5b3,La Superior Panaderia,"La Superior Panaderia, 2001 W 8th St, Los Angeles, CA 90057",34.0545417,-118.2767675,Mexican restaurant,4.3,30,Open ⋅ Closes 8PM,"0x80c2c778ebd7c863:0xbb10f80c16d3362, 0x80c2c7a05ccb6b2f:0x6dbeeda9d8f52a81, 0x80c2c77ed8881d79:0x55784b5e9876080b, 0x80c2c793c5b671b1:0x2b4a157270528f21, 0x80c2cf5e9dbfb09f:0xc63d1aa482618a06","Takeout, Delivery",Dining Venue,2001 W 8th St,Los Angeles,Los Angeles
10830,0x808f80b286dc6f9b:0xb9c0ee0392825cd4,Subway,"Subway, 1970 Broadway Lower Level, Oakland, CA 94612",37.808663,-122.2680694,"Sandwich shop, Fast food restaurant, Takeout Restaurant, Restaurant",3.2,15,Temporarily closed,Sin resultados vinculados,"Takeout, Delivery, Dine-in",Dining Venue,1970 Broadway Lower Level,Oakland,Alameda
10950,0x80c2dafa5c9a7b11:0x80ffb66da68a81a9,Denny's,"Denny's, 5603 Rosemead Blvd, Temple City, CA 91780",34.1015886,-118.0740459,"Diner, American restaurant, Breakfast restaurant",4.0,58,None,"0x80c2da139a5d5daf:0xdbc43bb4aa063219, 0x80c2da19984d4c67:0x62d5c4eb36d2a78e, 0x80c2daf08601c299:0x1a29f6e7731b38dc","Takeout, Delivery",Dining Venue,5603 Rosemead Blvd,Temple City,Los Angeles
11883,0x80ecf11263210e3b:0x6bb5b0e7180c138f,Brasserie SLO,"Brasserie SLO, 1119 Garden St, San Luis Obispo, CA 93401",35.2790514,-120.6633735,"Californian restaurant, Bar, Distillery",4.8,28,Closed ⋅ Opens 5PM,Sin resultados vinculados,"Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,1119 Garden St,San Luis Obispo,San Luis Obispo
11964,0x80dc9dcbf3081853:0x431bcc44582ddf42,Starbucks,"Starbucks, Newport FS Town Center, Menifee, CA 92584",33.6845997,-117.1790184,Coffee shop,4.5,26,Open ⋅ Closes 9PM,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Café & Coffee,Newport FS Town Center,Menifee,Riverside
13694,0x80e82795a4c98179:0xf4b71863f4dbdf15,21 Biryani Pots,"21 Biryani Pots, 5639 Kanan Rd, Agoura Hills, CA 91301",34.1527736,-118.759376,Indian restaurant,4.6,33,Closed ⋅ Opens 11AM,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,5639 Kanan Rd,Agoura Hills,Los Angeles
13780,0x80be3dd544115ed9:0x5d500f8046469ea3,1903 Taphouse & Co.,"1903 Taphouse & Co., 175 N Main St, Bishop, CA 93514",37.3618983,-118.3955549,American restaurant,4.7,8,None,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Dining Venue,175 N Main St,Bishop,Inyo
13849,0x809ae58e5b6f8889:0x997c522d3d5cf906,Kiki's Chicken Place,"Kiki's Chicken Place, 1880 Prairie City Rd Suite #100, Folsom, CA 95630",38.6491859,-121.164803,Restaurant,3.7,8,Closed ⋅ Opens 10:30AM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,1880 Prairie City Rd Suite #100,Folsom,Sacramento
14064,0x808fc98efb9d9569:0xc4c73a073b199159,Eureka! Santa Clara,"Eureka! Santa Clara, 2762 Augustine Dr Suite 130, Santa Clara, CA 95054",37.3820362,-121.9772593,American restaurant,4.5,27,Closed ⋅ Opens 11AM,Sin resultados vinculados,"Outdoor seating, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,2762 Augustine Dr Suite 130,Santa Clara,Santa Clara
15128,0x80c315687cd8bddb:0x921b0db291747add,Express Bakery La Salvadoreña,"Express Bakery La Salvadoreña, 4250 Phelan Rd, Phelan, CA 92371",34.4269812,-117.56916,Bakery,4.9,15,Closed ⋅ Opens 7AM,"0x80c314bcee4c228f:0x20c22df752649315, 0x80c371b6468434bd:0xb652b9a1324ea9e3, 0x80c3675aab1884d9:0xc7f3061c1366453f, 0x80c31497e676dd3d:0x939a60e257285ef3","In-store shopping, Takeout, Delivery",Bakery Shop,4250 Phelan Rd,Phelan,San Bernardino
15955,0x8085878a8085d297:0xadf6a9f9923446f2,Toyose,"Toyose, 3814 Noriega St, San Francisco, CA 94122",37.7531997,-122.5047022,Korean restaurant,4.5,14,Closed ⋅ Opens 6PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,3814 Noriega St,San Francisco,San Francisco
16875,0x80dd2bc1dfc5d745:0x8432f4160c2da79c,The Broken Yolk Cafe,"The Broken Yolk Cafe, 8010 Beach Blvd, Buena Park, CA 90620",33.8463679,-117.9974934,Breakfast restaurant,4.0,28,Closed ⋅ Opens 7AM,Sin resultados vinculados,"Outdoor seating, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,8010 Beach Blvd,Buena Park,Orange
17035,0x80c2d113d9850493:0xcb2e3a3f99e88dd8,Giant Union Co Inc,"Giant Union Co Inc, 9950 Mission Mill Rd, Whittier, CA 90601",34.018458,-118.0498916,Delivery Restaurant,4.0,8,Closed ⋅ Opens 8AM,"0x80c2c63641a93867:0xe1e19822f81cc962, 0x80c2d190e5fc2ad5:0x7f1ea0d430c61f8, 0x80c2d3eda901f80f:0xa74c078d5eff0fa1, 0x80c2d0b55f11785f:0x7ec5aefcf2f85328, 0x80c2d17b12a06ed7:0xd8398f867f4a18d2",Sin dato,Dining Venue,9950 Mission Mill Rd,Whittier,Los Angeles
17547,0x808f8f37c1b6d241:0x1b3bd5046ff3ce84,Tacos Dos Primos,"Tacos Dos Primos, 046 542501403, Oakland, CA 94603",37.7442557,-122.1698268,Mexican restaurant,4.7,35,Closed ⋅ Opens 9AM Fri,"0x808f85f6a01b38c3:0xa9147162400e1f96, 0x808f8f84faadbc13:0x37a4269562875b8d, 0x808f85eb8ebef633:0x2c8395d0d08fdd9e, 0x808f858a9fa3dd39:0x913d7a0abfde32aa","Takeout, Delivery",Dining Venue,046 542501403,Oakland,Alameda
17898,0x80c2c78f7d79ef43:0x597f758cb18e0dfe,L.A. Farmacia Natural,"L.A. Farmacia Natural, 1412 Vermont Ave, Los Angeles, CA 90006",34.0459034,-118.2911943,"Natural goods store, Health food store, Pharmacy, Vitamin & supplements store",4.4,66,Closed ⋅ Opens 10AM,"0x80c2c7a00710f03d:0xb7cb3db02677b09a, 0x80c2b885b01c983b:0x10def3e0b3546fa7, 0x80c2cf0c0c853c25:0x2bb8c9d148f8689b, 0x80c2cf46b82aeccf:0xef5846552088d1e6, 0x80c2cb8d04433607:0x86d2e1346020897","In-store pickup, In-store shopping",Health Foods,1412 Vermont Ave,Los Angeles,Los Angeles
17899,0x80c2c7855224b75b:0xb897f13e332e0241,Delcious Pastry & Bakery,"Delcious Pastry & Bakery, 2346 W Pico Blvd, Los Angeles, CA 90006",34.0469091,-118.2879942,Bakery,4.7,18,Closed ⋅ Opens 6AM,"0x80c2c785a5b703cb:0x58ecc11ec8a2ac26, 0x80c2c785974105c9:0x6f638dd932e8ccdb, 0x80c2c77f21d7114f:0x293b841b5c6a622d, 0x80c2c64ac7ab519f:0x5b9f4740e032770, 0x80c2c785da4c7543:0xea2029442b4ca657","In-store shopping, Takeout, Delivery",Bakery Shop,2346 W Pico Blvd,Los Angeles,Los Angeles
19181,0x80c2a3f2d19a95b9:0xbe7400caa486be55,Gladstones Pacific Palisades fillbox,"Gladstones Pacific Palisades fillbox, 17360-17392 Pacific Coast Hwy, Pacific Palisades, CA 90272",34.0382957,-118.5562896,Restaurant,4.9,18,Closed ⋅ Opens 11AM,"0x80c2a3f2d493cad3:0x6079a3cf068c163, 0x80c2a37bb2010929:0x42429785171d881e, 0x80c2a37bca243203:0xa9647f0ab7d33aad, 0x80c2a38d16c11dcd:0x32fe7b61ed6008cd","Takeout, Dine-in, Delivery",Dining Venue,17360-17392 Pacific Coast Hwy,Pacific Palisades,Los Angeles
20934,0x80db1bc2516bad15:0xd434ab55a2dc42e7,AsiaSF Palm Springs,"AsiaSF Palm Springs, 1555 S Palm Canyon Dr, Palm Springs, CA 92264",33.8056119,-116.5459447,Restaurant,4.8,14,Temporarily closed,Sin resultados vinculados,"Outdoor seating, Delivery",Dining Venue,1555 S Palm Canyon Dr,Palm Springs,Riverside
21102,0x808fcdfa6f4687ef:0x7fb26e5dee794dc4,Bún Riêu Cua Tân Định,"Bún Riêu Cua Tân Định, 999 Story Rd UNIT 9045, San Jose, CA 95122",37.3320664,-121.8571071,Vietnamese restaurant,3.8,55,Closed ⋅ Opens 9AM Thu,"0x808fcd8e0449b6dd:0x8bd8f737b1e9b535, 0x808e32bcf93f7485:0x6145922bbf888c81, 0x808e32bcf93e09b5:0x44e8d307d58f24ed, 0x808fcdfd16451c53:0x8dfc74bdc24544d","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,999 Story Rd UNIT 9045,San Jose,Santa Clara
21725,0x80c2ce5ad7ea5515:0x155d92fbf5bf2cc7,MJ CAFE,"MJ CAFE, 6055 E Washington Blvd b11, Commerce, CA 90040",33.9968117,-118.1481783,"Cafeteria, Deli, Mexican restaurant, Restaurant",4.6,8,Closed ⋅ Opens 8AM Wed,"0x80c3295f6eabebeb:0xc7f5a1b676564e34, 0x80c2ce456d653b4b:0x587d414de8ae70c6, 0x80c2c548af36aae1:0x8fe969fa2f7a189d, 0x80c2c5383cde30d5:0xd169bc502421d257","Takeout, Dine-in, Delivery",Dining Venue,6055 E Washington Blvd b11,Commerce,Los Angeles
21895,0x808581e58e71c029:0x135c032c91c365fd,Jakes Steaks Mission,"Jakes Steaks Mission, 581 Valencia St, San Francisco, CA 94110",37.763689,-122.4215862,American restaurant,4.4,15,Closed ⋅ Opens 10AM Wed,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,581 Valencia St,San Francisco,San Francisco
22135,0x80d951e31c0e285f:0x31f0ee60d6ecdc1f,Burger King,"Burger King, 3030 Plaza Bonita Rd Suite 2075, National City, CA 91950",32.6539998,-117.065369,Fast food restaurant,2.5,15,Closed ⋅ Opens 11AM Wed,"0x80d951fb495fe7f1:0x6f6e56ba89814e, 0x80d951fcac448583:0xb3e7085a2893bc04, 0x80d951e33e4bff55:0xd7754d2d88461dfa, 0x80d951e4b388ac2d:0x8f655ee93cc50d7b","Delivery, Takeout, Dine-in",Dining Venue,3030 Plaza Bonita Rd Suite 2075,National City,San Diego
22705,0x80c28758c9f2739f:0xe44f4ef91661c984,Subway,"Subway, 27530 Newhall Ranch Rd Suite 102, Valencia, CA 91355",34.4359523,-118.5627569,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",4.2,48,Closed ⋅ Opens 7:30AM Wed,"0x80c27dfc89509ed3:0xbf7be69cc3cb93b7, 0x80c27dfca59905a3:0xbc763822515a7ff9, 0x80c27d9e70698783:0x8502ee647cb34790, 0x80c28713c504e603:0x98c28e4c489b67ad","Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,27530 Newhall Ranch Rd Suite 102,Valencia,Los Angeles
22865,0x808f7c5c7f58d549:0xab0b2de0814ad13,Nothing Bundt Cakes,"Nothing Bundt Cakes, 221 Lake Merced Blvd, Daly City, CA 94015",37.6998166,-122.4838323,"Bakery, Cake shop",4.3,28,Closed ⋅ Opens 10AM Wed,"0x808f7c09896817c3:0xb68ad5603b199246, 0x808f7c5db12e4d7d:0x2341cd9af713bed2, 0x808f7e281a94225d:0x92aa236bfb2eb4c6, 0x8085873144a8523d:0xdd451cca002df736","Curbside pickup, Delivery, In-store pickup, In-store shopping, Takeout, Dine-in",Bakery Shop,221 Lake Merced Blvd,Daly City,San Mateo
23789,0x808f9f16784e6f09:0x8d47c5981115ff6b,Starbucks,"Starbucks, 47 42nd Ave, San Mateo, CA 94403",37.529193,-122.289945,"Coffee shop, Cafe, Coffee store, Espresso bar",3.7,18,Closed ⋅ Opens 6AM Wed,"0x808f9ee1c28be7cf:0xb64ccec0bdfc61b3, 0x808f9e7087812b4d:0x332faa94b488e0c9, 0x808fa21ca95a48f7:0xbf39e9c7877c58ce, 0x808f9f1d40b46f9d:0xcda3e875aaca2d6c","Delivery, Takeout, Dine-in",Café & Coffee,47 42nd Ave,San Mateo,San Mateo
24014,0x80dd25f17eb1be7d:0xdb84dfaf0658e417,Sweet Traders,"Sweet Traders, 5362 Oceanus Dr unit c, Huntington Beach, CA 92649",33.742244,-118.035693,"Wedding bakery, Bakery, Chocolate shop, Dessert shop, Gift basket store",4.6,18,Closed ⋅ Opens 9AM Wed,"0x80dd31d4b352fe1f:0xa415bb336b18ee0c, 0x80dd25c9dafc6fe3:0xd2aeb83764c42851, 0x80dd25d46ba73c6f:0xdb7185c7ba04be97, 0x80dd213a4626918d:0x45f615590b912e8f","Curbside pickup, Delivery, In-store pickup, Onsite services, Takeout, Online appointments",Bakery Shop,5362 Oceanus Dr unit c,Huntington Beach,Orange
24072,0x80c2c0ae97a1989d:0x5d5a1128109282c7,Casual Public,"Casual Public, 1745 N Vermont Ave #4305, Los Angeles, CA 90027",34.1027147,-118.2919621,"Restaurant, Bar & grill",4.5,8,Closes soon ⋅ 9PM ⋅ Opens 3PM Wed,"0x80c2c0ae998d25b7:0x198252efb94e7f5a, 0x80c2c0adb314a897:0xc0c9002aaf246be1, 0x80c2c0cbb65f8c7d:0x55feb9c135814bd1, 0x80c2c0ae97a1d661:0x162e96d10107faff","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,1745 N Vermont Ave #4305,Los Angeles,Los Angeles
24156,0x80dcafb14e219d6b:0xc6a83e0b565ed0b1,Alaska Crab,"Alaska Crab, 12580 Day St, Moreno Valley, CA 92553",33.9372957,-117.2779547,Restaurant,3.6,38,Open ⋅ Closes 10PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,12580 Day St,Moreno Valley,Riverside
24371,0x8084d155d59bbe79:0xea9392e201d6ec6f,Costco Food Court,"Costco Food Court, 2299 Bronze Star Dr, Woodland, CA 95776",38.6722546,-121.7222436,Takeout Restaurant,3.8,8,Closed ⋅ Opens 10AM Wed,"0x8084d153f3b759a5:0xf94c1d759b78ea16, 0x8084d15393cab561:0xb292d7bba69f44b7, 0x8084d086733a605d:0x1e5708ab975d7763, 0x8084d1393d329267:0x1ec094bc2d12cf34, 0x8084d13e7e2d5443:0x784336cb899d6a2b","Takeout, Delivery",Dining Venue,2299 Bronze Star Dr,Woodland,Yolo
24456,0x80c4b388ffb45711:0x5be516b31e3d6d11,Botana,"Botana, 41618 Big Bear Blvd, Big Bear Lake, CA 92315",34.2436335,-116.8941692,Restaurant,3.8,13,None,"0x80c4b43e28b2fe5f:0x3033cde7827463c5, 0x80c4b3942967a37f:0x147a713db52db9, 0x80c4b388ffc953a9:0x6e0de2bee3e8871d, 0x80c4b3be0cf7355d:0x3b02a2e19aac7a6b, 0x80c4b391f404757b:0xa339ca2083cde329",Delivery,Dining Venue,41618 Big Bear Blvd,Big Bear Lake,San Bernardino
24704,0x809443ae04727ec5:0xc3c46b6d6bb526a3,Annesso Pizzeria,"Annesso Pizzeria, 8484 N Friant Rd, Fresno, CA 93720",36.8591893,-119.7829513,Italian restaurant,4.4,48,Open ⋅ Closes 10PM,Sin resultados vinculados,"Takeout, Dine-in",Dining Venue,8484 N Friant Rd,Fresno,Fresno
24809,0x80d94dab151ac567:0x70877709ce54a6b,San Diego Kabob Shack,"San Diego Kabob Shack, 200 Broadway, Chula Vista, CA 91910",32.6410979,-117.0938036,Restaurant,5.0,47,Closes soon ⋅ 9PM ⋅ Opens 10:30AM Wed,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,200 Broadway,Chula Vista,San Diego
24867,0x80c2ba2a752f70f5:0x6a9269b538b6c380,Cemitas,"Cemitas, 9099 Venice Blvd., Los Angeles, CA 90034",34.0268173,-118.3931825,Mexican restaurant,4.6,5,Closed ⋅ Opens 9AM Wed,"0x80c2ba2e604a6f01:0x77967cb6f0696525, 0x80c2b90398f3df87:0x9bdaddc88afe0d04, 0x80c2ba5ca1fadbb7:0x6d569d7a512aa4e6, 0x80c2b9207984d089:0x9f496c331e907818, 0x80c2ba5e9bf3bd39:0xc21abe901e4a639e","Takeout, Dine-in, Delivery",Dining Venue,9099 Venice Blvd.,Los Angeles,Los Angeles
25087,0x80c2b4a77242fca3:0x79454fa0135ccf05,Mexican On The Pier,"Mexican On The Pier, 240 Fishermans Wharf, Redondo Beach, CA 90277",33.839306,-118.3917182,Mexican restaurant,4.2,15,Open ⋅ Closes 10PM,"0x80c2b4a77242fca3:0xa2e4e0da072aa8de, 0x80c2b4a7ab4a2c3b:0x19e65ac7d032327, 0x80c2b4a7ab4a2c3b:0xb46247bf97673262, 0x80c2b4a703abeef1:0xa9d8f8c42d9122a, 0x80c2b4a64f643e6d:0xa7bff2bcfd92837c","Takeout, Dine-in, Delivery",Dining Venue,240 Fishermans Wharf,Redondo Beach,Los Angeles
25269,0x80c29b16da873c63:0x43a18c961ab96175,Indian By Nature,"Indian By Nature, 8241 Tampa Ave, Reseda, CA 91335",34.2202414,-118.5540652,"Indian restaurant, Caterer, Delivery Restaurant",4.9,48,Closed ⋅ Opens 12AM Mon,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,8241 Tampa Ave,Reseda,Los Angeles
26419,0x80dcde0d8c62747b:0x96e34b76f227568d,Subway,"Subway, A233 Student Center Food Court, Irvine, CA 92697",33.6491461,-117.8424367,"Sandwich shop, Fast food restaurant, Takeout Restaurant, Restaurant",3.6,8,Closed ⋅ Opens 10AM Wed,"0x80dcde08f3ef4981:0x7457b4ab000cb0d1, 0x80dcde0df3000001:0x12454c2b70b8bf91, 0x80dcde0ea6c40dc5:0xe07a16c6aa987ad0, 0x80dcde0d0ccae005:0x683b6236e4c62920","Takeout, Dine-in, Delivery",Dining Venue,A233 Student Center Food Court,Irvine,Orange
53528,0x80dd26692933a663:0x3702388158a67a60,3rd Generation Huntington Beach Asian Cuisine,"3rd Generation Huntington Beach Asian Cuisine, 7311 Edinger Ave, Huntington Beach, CA 92647",33.7304204,-118.0005539,"Asian restaurant, Ramen restaurant, Sushi restaurant",3.9,25,None,"0x80dd2689e793ce39:0xeb71c2c8e30cccb0, 0x80dd25bae333f28b:0xcb736c31c701a73, 0x80dd25ba5ad69159:0xa2036b3a915306c5",Delivery,Dining Venue,7311 Edinger Ave,Huntington Beach,Orange
54650,0x8085b169767ab3e3:0x4735d907927ecaed,Subway,"Subway, 2620 Lakeville Hwy Suite 320, Petaluma, CA 94954",38.2334812,-122.6030844,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3.0,26,Closes soon ⋅ 7PM ⋅ Opens 9AM Wed,"0x8085b16c047684fb:0x81fcdfad4780cce0, 0x8085b4fb46ddc013:0x42204f04fb71630, 0x8085b153f3de3e5d:0xdc59f70f3b7a4a3b, 0x8085b406d00ec3af:0x8fe19e63a79617fd, 0x8085b406d9680049:0x52bb1cf8999cb885","Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,2620 Lakeville Hwy Suite 320,Petaluma,Sonoma
